ジャンル,建築名,建築家,時代,場所,造り,特徴,解説,画像,,,,,,\
1_日本建築史,如庵,---,桃山時代,愛知県犬山市,なし,織田有楽斉が建立、ニ畳半台目で畳床、大小五つの窓やにじり口,建仁寺(京都市)の塔頭である正伝院に、織田有楽斉が建立したとされており、現在は愛知県大山市に移築されている。ニ畳半台目で畳床とし、床脇に三角形の地板を人れ、中柱を特別な位置に立てており、大小五つの窓やにじり口の配置が特徴的である。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_32.png,/main/images,/01_32.png,01,32,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_32.png/main/images/01_32.png,
1_日本建築史,密庵,---,桃山時代,京都府京都市,書院造りを基調とした数奇家風造り,四畳半台目の茶室である書院造りの意匠を基調としながら、障子の桟の意匠などに数寄屋風の造り,大徳寺龍光院の書院に隣接した四畳半台目の茶室である書院造りの意匠を基調としながら、柱には角柱、面皮柱(四隅の面に樹皮を残した柱)および丸太が混しり、障子の桟の意匠などこ数寄屋風の造りを示している。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_33.png,/main/images,/01_33.png,01,33,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_33.png/main/images/01_33.png,
1_日本建築史,桂離宮,---,江戸時代,京都府京都市,書院造り+数奇家造り,書院造りに数寄屋造りの手法を取り人れた・回遊式庭園に古書院や中書院・新御殿が雁行、庭園内には茶屋建築,書院造りに数寄屋造りの手法を取り人れた別荘建築の代表作。八条宮の別荘として造られた。広大な敷地内に設けられた回遊式庭園に面して古書院や中書院・新御殿などの書院群が雁行して連なり、庭園内には茶屋建築が配置され、この頃の王朝文化を反映した造形がなされている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_34.png,/main/images,/01_34.png,01,34,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_34.png/main/images/01_34.png,
1_日本建築史,臨春閣,---,江戸時代,神奈川県横浜市,数奇家風書院造り,数奇家風書院造り、第一屋から第三屋までの3棟から、1階に雅楽の楽器を用いた欄間が設けられている,"江戸時代初期に紀州徳川家の別荘として建てられたとされる数寄屋風書院造りの建築物で,現在は横浜市の三渓園内に移築されている。第一屋から第三屋までの 3 棟からなり,現在の第三屋には, 1 階に雅楽の楽器を用いた欄間, 2 階に縁を配した小部屋が設けられている。",https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_35.png,/main/images,/01_35.png,01,35,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_35.png/main/images/01_35.png,
1_日本建築史,日光東照宮社殿,---,江戸時代,栃木県日光市,権現造り,本殿と拝殿の間を石の間（相の間）でつなぐ権現造りの代表作。,徳川家康を祭るためにつくられたもので、本殿と拝殿の間を石の間(相の間ともいう)でつなぐ権現造りの代表作。近世の神社建築はこの様式が多く用いられ、拝殿と本殿は人母屋造りのものが多く、石の間の屋根は両下りになっている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_36.png,/main/images,/01_36.png,01,36,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_36.png/main/images/01_36.png,
2_西洋建築史,パルテノン神殿,---,古代ギリシャ,ギリシャ・アテネ,古代ギリシャ,神室、ドリス式オーダー,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_01.png,/main/images,/02_01.png,02,01,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_01.png/main/images/02_01.png,
2_西洋建築史,パンテオン,---,古代ローマ,イタリア・ローマ,古代ローマ,43mの巨大なドーム、コンクリートや煉瓦を用いた、円窓（天窓）、格間,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_02.png,/main/images,/02_02.png,02,02,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_02.png/main/images/02_02.png,
2_西洋建築史,コロセウム,---,古代ローマ,イタリア・ローマ,古代ローマ,楕円形平面の闘技場、１層にはドリス式、２層にはイオニア式、３層にはコリント式の半円柱,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_03.png,/main/images,/02_03.png,02,03,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_03.png/main/images/02_03.png,
2_西洋建築史,ハギア・ソフィア大聖堂,---,ビザンチン,トルコ・イスタンブール,ビザンチン,ビザンチン建築の代表作、バシリカ形式とドーム集中形式を融合、巨大なペンデンティブドーム,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_04.png,/main/images,/02_04.png,02,04,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_04.png/main/images/02_04.png,
2_西洋建築史,コルドバの大モスク,---,イスラム,スペイン・コルドバ,イスラム,イスラム建築様式、キリスト文化とイスラム文化が混在、白い石と赤いレンガで作られた２段のアーチ,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_05.png,/main/images,/02_05.png,02,05,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_05.png/main/images/02_05.png,
2_西洋建築史,サン・マルコ大聖堂,---,ビザンチン,イタリア・ベネチア,ビザンチン,ギリシア十字形の集中プラン、ペンデンティブドーム、イスラム建築の発展がみられ、独特な塔が付属,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_06.png,/main/images,/02_06.png,02,06,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_06.png/main/images/02_06.png,
2_西洋建築史,アルハンブラ宮殿,---,イスラム,スペイン・グラナダ,イスラム,"イスラム式の宮殿建築で,水盤や噴水を用いた「獅子の中庭」や「アラヤネスの中庭」,中庭の周囲に設けられたア ー ケ ー ド(列柱廊),コマ ー レスの塔等があり,イスラム式装飾の粋がつくされている。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_07.png,/main/images,/02_07.png,02,07,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_07.png/main/images/02_07.png,
2_西洋建築史,アーヘンの宮廷礼拝堂,---,ロマネスク,ドイツ,ロマネスク,集中式のロマネスク建築、身廊の平面図を8角形とし周歩廊（側廊）の外壁は16角形で、ドーム状のヴォールト,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_08.png,/main/images,/02_08.png,02,08,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_08.png/main/images/02_08.png,
